authors,created,description,id,is_prerelease,listed,summary,tags,total_downloads,verified,version 
Steffen Forkmann,2011-01-07T07:56:39.747Z,NaturalSpec is a .NET UnitTest framework which provides automatically testable specs in natural language.,NaturalSpec,False,True,,,16274,False,1.0.71
Graham Mendick,2011-01-07T07:56:41.497Z,"Navigation for ASP.NET Web Forms manages movement and data passing between aspx Pages in a unit testable manner. There is no Client-side logic, so it works in all browsers, and no Server-side cache, so it works with the browser back button",Navigation,False,True,"Navigation for ASP.NET Web Forms manages movement and data passing between aspx Pages in a unit testable manner. There is no Client-side logic, so it works in all browsers, and no Server-side cache, so it works with the browser back button",,6923,False,1.0.0
Pieter Joost,2011-01-07T07:56:43.01Z,"Ncqrs is a framework for .NET helps build scalable, extensible and maintainable applications by supporting developers apply the CQRS architectural pattern.",ncqrs,False,True,"Ncqrs is a framework for .NET helps build scalable, extensible and maintainable applications by supporting developers apply the CQRS architectural pattern.",,2814,False,0.8.0
NDesk,2011-01-07T07:56:44.4Z,NDesk.Options is a callback-based program option parser for C#.,NDesk.Options,False,True,NDesk.Options is a callback-based program option parser for C#.,,350065,False,0.2.1
James Newton-King,2011-01-07T07:56:51.167Z,Json.NET is a popular high-performance JSON framework for .NET,Newtonsoft.Json,False,True,Json.NET is a popular high-performance JSON framework for .NET,,104696422,True,3.5.8
Mitch Denny,2011-01-07T07:56:52.497Z,A managed implementation of the Hashcash anti-spam/anti-DoS system.,NHashcash,False,True,A managed implementation of the Hashcash anti-spam/anti-DoS system.,,1556,False,1.1.0
Fabio Maulo,2011-01-07T07:57:03.09Z,"NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",NHibernate,False,True,"NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",orm,2906814,False,2.1.2.4000
Fabio Maulo,2011-01-07T07:57:11.107Z,"NHibernate 3 Beta 1 - NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",NHibernate,False,True,"NHibernate 3 Beta 1 - NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",,2906814,False,3.0.0.2001
Fabio Maulo,2011-01-07T07:57:19.277Z,"NHibernate 3 RC1 - NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",NHibernate,False,True,"NHibernate 3 RC1 - NHibernate is a mature, open source object-relational mapper for the .NET framework. It's actively developed , fully featured and used in thousands of successful projects.",,2906814,False,3.0.0.3001
Ayende,2011-01-07T07:57:20.807Z,"NHibernate Linq support is based on the existing, proven in production, Linq provider in NHibernate Contrib. The plans to overhaul that and merge that into NHibernate’s proper for the next release are still active, but the project team feels most strongly that production quality Linq support is something that we ought to provide for our users now.",NHibernate.Linq,False,True,"NHibernate Linq support is based on the existing, proven in production, Linq provider in NHibernate Contrib. The plans to overhaul that and merge that into NHibernate’s proper for the next release are still active, but the project team feels most strongly that production quality Linq support is something that we ought to provide for our users now.",,98098,False,1.0.0
Mauricio Scheffer,2011-01-07T07:57:23.167Z,Embedded web NHibernate console,NHWebConsole,False,True,NHWebConsole is an embeddable HQL/SQL console for web applications using NHibernate. Navigate your database with your web browser and run any HQL/SQL query. It also has basic HQL intellisense thanks to Felice Pollano's NHibernate Workbench (http://sourceforge.net/projects/faticalabshqled/),,,False,0.2.0
"Nate Kohari,Ian Davis",2011-01-07T07:57:24.793Z,"Stop writing monolithic applications that make you feel like you have to move mountains to make the simplest of changes. Ninject helps you use the technique of dependency injection to break your applications into loosely-coupled, highly-cohesive components, and then glue them back together in a flexible manner.",Ninject,False,True,"Stop writing monolithic applications that make you feel like you have to move mountains to make the simplest of changes. Ninject helps you use the technique of dependency injection to break your applications into loosely-coupled, highly-cohesive components, and then glue them back together in a flexible manner.",,5796764,False,2.0.1
"Nate Kohari,Ian Davis,Remo Gloor,Joe Wasson,Daniel Marbach",2011-01-07T07:57:31.4Z,"Stop writing monolithic applications that make you feel like you have to move mountains to make the simplest of changes. Ninject helps you use the technique of dependency injection to break your applications into loosely-coupled, highly-cohesive components, and then glue them back together in a flexible manner.",Ninject,False,True,"Stop writing monolithic applications that make you feel like you have to move mountains to make the simplest of changes. Ninject helps you use the technique of dependency injection to break your applications into loosely-coupled, highly-cohesive components, and then glue them back together in a flexible manner.",,5796764,False,2.1.0.76
Jaroslaw Kowalski,2011-01-07T07:57:34.543Z,NLog is a logging platform for .NET with rich log routing and management capabilities. It can help you produce and manage high-quality logs for your application regardless of its size or complexity.,NLog,False,True,NLog is a logging platform for .NET with rich log routing and management capabilities. It can help you produce and manage high-quality logs for your application regardless of its size or complexity.,,10865554,True,1.0.0.505
Andrew Theken,2011-01-07T07:57:42.043Z,NoRM (http://normproject.org) is a .NET driver for the document database MongoDB,NoRM,False,True,NoRM (http://normproject.org) is a .NET driver for the document database MongoDB,,7987,False,0.9.8
"Anthony Egerton,David Tchepak",2011-01-07T07:57:44.183Z,"NSubstitute is a friendly substitute for .NET mocking framekworks. It has a simple, succinct syntax to help developers write clearer tests. NSubstitute is designed for Arrange-Act-Assert (AAA) testing and with Test Driven Development (TDD) in mind.",NSubstitute,False,True,"NSubstitute is a friendly substitute for .NET mocking framekworks. It has a simple, succinct syntax to help developers write clearer tests. NSubstitute is designed for Arrange-Act-Assert (AAA) testing and with Test Driven Development (TDD) in mind.",,4265305,False,0.9.0.34
"Anthony Egerton,David Tchepak",2011-01-07T07:57:46.357Z,"NSubstitute is a friendly substitute for .NET mocking framekworks. It has a simple, succinct syntax to help developers write clearer tests. NSubstitute is designed for Arrange-Act-Assert (AAA) testing and with Test Driven Development (TDD) in mind.",NSubstitute,False,True,,"mocking,mocks,testing,unit-testing,TDD,AAA",4265305,False,0.9.5
"Anthony Egerton,David Tchepak",2011-01-07T07:57:48.497Z,"NSubstitute is a friendly substitute for .NET mocking framekworks. It has a simple, succinct syntax to help developers write clearer tests. NSubstitute is designed for Arrange-Act-Assert (AAA) testing and with Test Driven Development (TDD) in mind.",NSubstitute,False,True,,"mocking,mocks,testing,unit-testing,TDD,AAA",4265305,False,1.0.0
Outercurve Foundation,2011-01-07T07:57:50.387Z,NuGet command line tool used to create and push packages.,NuGet.CommandLine,False,True,NuGet command line tool used to create and push packages.,nuget,7698129,True,1.0.11220.26
Charlie Poole,2011-01-07T07:57:54.87Z,"NUnit is a unit-testing framework for all .Net languages. Initially ported from JUnit, the current production release, version 2.5, is the sixth major release of this xUnit based unit testing tool for Microsoft .NET.",NUnit,False,True,"NUnit is a unit-testing framework for all .Net languages. Initially ported from JUnit, the current production release, version 2.5, is the sixth major release of this xUnit based unit testing tool for Microsoft .NET.",,17742222,True,2.5.7.10213
David Ebbo,2011-01-07T07:57:56.183Z,A sample NUnit test to help new users get started,NUnit.Sample,False,True,A sample NUnit test to help new users get started,,11168,False,1.0.0
David Thibault,2011-01-07T07:57:58.043Z,"Fluent validation library for .Net. With nValid, you can cleanly define validation rules for any .Net type, and validate instances with a single line of code.",nvalid,False,True,"Fluent validation library for .Net. With nValid, you can cleanly define validation rules for any .Net type, and validate instances with a single line of code.",,2202,False,0.2.1
Castle Project Contributors,2011-01-07T07:58:00.09Z,"NVelocity is a port of the excellent Apache Jakarta Velocity project. It is a very simple, easy to learn and extensible template engine.",NVelocity,False,True,"NVelocity is a port of the excellent Apache Jakarta Velocity project. It is a very simple, easy to learn and extensible template engine.",,118903,False,1.0.3
Anders WÃ¥glund,2011-01-07T07:58:04.23Z,nvents is an open source library for strongly typed publishing/subscribing of events over the network.,nvents,False,True,nvents is an open source library for strongly typed publishing/subscribing of events over the network.,,4426,False,0.3.0
Anders WÃ¥glund,2011-01-07T07:58:05.65Z,nvents is an open source library for strongly typed publishing/subscribing of events over the network.,nvents,False,True,nvents is an open source library for strongly typed publishing/subscribing of events over the network.,,4426,False,0.4.0
Paul Stovell,2011-01-07T07:58:07.65Z,"Observal is a library that helps you to manage complex, hierarchical object models in your WPF applications.",Observal,False,True,"Observal is a library that helps you to manage complex, hierarchical object models in your WPF applications.",,1757,False,1.0.0
Microsoft,2011-01-07T07:58:09.23Z,The OData Helper makes it easy to write queries against OData-enabled services with the minimum amount of code.,OData.Helper,False,True,,ASPNETWEBPAGES,10702,False,1.0.0
John Nelson,2011-01-07T07:58:10.667Z,An MvcContrib Portable Area that provides quick and easy OpenID support.,OpenIdPortableArea,False,True,An MvcContrib Portable Area that provides quick and easy OpenID support.,,3264,False,1.0.0
Ducas Francis,2011-01-07T07:58:12.01Z,The OpenSearch Toolkit provides ASP.NET developers with drop-in support for OpenSearch. This lets you quickly and easily publish valid search suggestions to all the major browsers.,OpenSearchToolkit,False,True,The OpenSearch Toolkit provides ASP.NET developers with drop-in support for OpenSearch. This lets you quickly and easily publish valid search suggestions to all the major browsers.,,6508,False,1.1.0
Mauricio Scheffer,2011-01-07T07:58:13.607Z,OpenX client,OpenXNet,False,True,,,2797,False,0.1.0
"Troy Goode,Scott Guthrie",2011-01-07T07:58:14.98Z,"PagedList makes it easier for .Net developers to write paging code. It allows you to take any IEnumerable<T> and by specifying the page size and desired page index, select only a subset of that list. PagedList also provides properties that are useful when building UI paging controls.",PagedList,False,True,"PagedList makes it easier for .Net developers to write paging code. It allows you to take any IEnumerable<T> and by specifying the page size and desired page index, select only a subset of that list. PagedList also provides properties that are useful when building UI paging controls.",,1943681,False,1.1.0
"Dmitri Kashtanov,Loginov Oleg,Shaun Wilde",2011-01-07T07:58:18.73Z,PartCover is a .NET 4 (and 2) compatible code coverage tool hosted on github (and sourceforge),partcovernet4,False,True,PartCover is a .NET 4 (and 2) compatible code coverage tool hosted on github (and sourceforge),,2880,False,4.0.0
"Ivan Paulovich,Andre Paulovich",2011-01-07T07:58:21.01Z,"A light weight data acces layer. Easily call stored procedures and supports several types of datasources like SQL Server (2000,2005,2008) , Oracle, Access, Odbc",Paulovich.Data,False,True,A light weight data acces layer.,,2429,False,4.0.0
Microsoft,2011-01-07T07:58:39.323Z,The PayPal helper allows you to integrate PayPal payments within your WebMatrix website or e-commerce application. With a few lines of code youâ€™ll enable your Website customers to click on a payment buttons to pay for their purchases with their PayPal accounts.,PayPal.Helper,False,True,,ASPNETWEBPAGES,12163,False,1.0.0
Microsoft,2011-01-07T07:58:29.323Z,The PayPal helper allows you to integrate PayPal payments within your WebMatrix website or e-commerce application. With a few lines of code you'll enable your Website customers to click on a payment buttons to pay for their purchases with their PayPal accounts.,PayPal.Helper,False,True,,ASPNETWEBPAGES,12163,False,1.0.1
Microsoft patterns & practices,2011-01-07T07:58:41.87Z,"Prism helps you more easily design and build rich, flexible, and easy to maintain Windows Presentation Foundation (WPF) desktop applications and Silverlight Rich Internet Applications (RIAs) and Windows Phone 7 applications. These libraries assist in buildling loosley    coupled applications as well as support implementing MVVM in your applications.  To get the most of these libraries, follow the More information link above.",Prism,False,True,Prism core libraries.,,,False,4.0.0
Microsoft patterns & practices,2011-01-07T07:58:43.417Z,Use these extensions to Prism.Core to build Prism applications based on the Managed Extensibility Framework (MEF).,Prism.MEFExtensions,False,True,Managed Extensibility Framework (MEF) extensions for Prism.,,,False,4.0.0
Microsoft patterns & practices,2011-01-07T07:58:44.857Z,Use these extensions to Prism.Core to build Prism applications based on Unity.,Prism.UnityExtensions,False,True,Unity extensions for Prism.,,,False,4.0.0
Marc Gravell,2011-01-07T07:58:51.713Z,"protocol buffers is the name of the binary serialization format used by Google for much of their data communications. It is designed to be: small in size - efficient data storage (far smaller than xml) cheap to process - both at the client and server platform independent - portable between different programming architectures extensible - to add new data to old messages. protobuf-net is a .NET implementation of this, allowing you to serialize your .NET objects efficiently and easily. It is compatible with most of the .NET family, including .NET 2.0/3.0/3.5, .NET CF 2.0/3.5, Mono 2.x, Silverlight 2, etc.",protobuf-net,False,True,"protocol buffers is the name of the binary serialization format used by Google for much of their data communications. It is designed to be: small in size - efficient data storage (far smaller than xml) cheap to process - both at the client and server platform independent - portable between different programming architectures extensible - to add new data to old messages. protobuf-net is a .NET implementation of this, allowing you to serialize your .NET objects efficiently and easily. It is compatible with most of the .NET family, including .NET 2.0/3.0/3.5, .NET CF 2.0/3.5, Mono 2.x, Silverlight 2, etc.",,2247955,False,1.0.0.280
"Marko Lahma,James House (Java)",2011-01-07T07:58:54.497Z,Quartz.NET Scheduling Framework for .NET Platform,Quartz,False,True,Quartz.NET Scheduling Framework for .NET Platform,,2375058,False,1.0.3
Mauricio Scheffer,2011-01-07T07:58:55.997Z,Quartz.Net integration for Castle Windsor,Quartz.Windsor,False,True,,,12611,False,0.1.3
Mauricio Scheffer,2011-01-07T07:58:58.823Z,Embedded web Quartz.NET console/manager,QuartzNetWebConsole,False,True,,,7565,False,0.1.1
Microsoft,2011-01-07T07:59:01.607Z,"The QuickEdit helper is designed to make your WebMatrix sites editable. When the helper is in place, the users from your site that belong to a group (or role) that you define, will see an Edit button that launches an editor to update the content displayed there. On the other side, unregistered users (or anonymous) will just see the edited content, not the button.",QuickEdit.Helper,False,True,,ASPNETWEBPAGES,5164,False,1.0.0
"Jonathan ""Peli"" de Halleux",2011-01-07T07:59:06.417Z,"Generic directed/undirected graph datastructures and algorithms. QuickGraph comes with algorithms such as depth first seach, breath first search, A* search, shortest path, k-shortest path, maximum flow, minimum spanning tree, least common ancestors, etc...",QuickGraph,False,True,,,229967,False,3.3.51106
David Fowler,2011-01-07T07:59:20.48Z,A simple web based debugger for Razor pages.,RazorDebugger,False,True,A simple web based debugger for Razor pages.,ASPNETWEBPAGES,7132,False,0.1.0
Paul Betts,2011-01-07T07:59:23.777Z,A MVVM library for WP7 that is deeply integrated with the Reactive Extensions for .NET,reactivexaml-wp7,False,True,,,2330,False,1.4.0
Paul Betts,2011-01-07T07:59:25.37Z,A MVVM library for WP7 that is deeply integrated with the Reactive Extensions for .NET,reactivexaml-wp7,False,True,,,2330,False,1.4.1
Paul Betts,2011-01-07T07:59:27.59Z,A MVVM library for WPF and Silverlight that is deeply integrated with the Reactive Extensions for .NET,reactivexaml,False,True,,,2610,False,1.4.0
Paul Betts,2011-01-07T07:59:29.84Z,A MVVM library for WPF and Silverlight that is deeply integrated with the Reactive Extensions for .NET,reactivexaml,False,True,,,2610,False,1.4.1
Jarrett Meyer,2011-01-07T07:59:31.247Z,RESTController provides the common functionality for supporting the basic CRUD operations with an MVC controller.,RESTController,False,True,,,1529,False,0.4.0.2253
Steve Hodgkiss,2011-01-07T07:59:33.963Z,RestfulRouting is a routing library for ASP.NET MVC based on the Rails 3 routing DSL.,RestfulRouting,False,True,RestfulRouting is a routing library for ASP.NET MVC based on the Rails 3 routing DSL.,,26041,False,1.0.0
Steve Hodgkiss,2011-01-07T07:59:32.607Z,RestfulRouting is a routing library for ASP.NET MVC based on the Rails 3 routing DSL.,RestfulRouting,False,True,RestfulRouting is a routing library for ASP.NET MVC based on the Rails 3 routing DSL.,,26041,False,1.0.1
Ayende @ Rahien,2011-01-07T07:59:40.183Z,A dynamic mock object framework for the .Net platform. It's purpose is to ease testing by allowing the developer to create mock implementations of custom objects and verify the interactions using unit testing.,RhinoMocks,False,True,A dynamic mock object framework for the .Net platform. It's purpose is to ease testing by allowing the developer to create mock implementations of custom objects and verify the interactions using unit testing.,,1623723,False,3.6.0
Phil Haack,2011-01-07T07:59:41.51Z,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,routedebugger,False,True,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,,741367,False,1.0.0
Sage Software,2011-01-07T08:00:16.963Z,Sage SalesLogix SData Client Library for .NET,SDataCSharpClientLib,False,True,"Sage SalesLogix SData .NET Client Library, written in C#, based on Microsoft Argotic",,2574,False,1.2.2.1335
Eric Hexter,2011-01-07T08:00:18.293Z,"The Should Assertion Library provides a set of extension methods for test assertions for AAA and BDD style tests. It provides assertions only, and as a result it is Test runner agnostic. The assertions are a direct fork of the xUnit test assertions. This project was born because test runners Should be independent of the the assertions!",Should,False,True,"The Should Assertion Library provides a set of extension methods for test assertions for AAA and BDD style tests. It provides assertions only, and as a result it is Test runner agnostic. The assertions are a direct fork of the xUnit test assertions. This project was born because test runners Should be independent of the the assertions!",,318272,False,1.1.12
Tim Scott,2011-01-07T08:00:19.667Z,"The Should Assertion Library provides a set of extension methods for test assertions for AAA and BDD style tests. It provides assertions only, and as a result it is Test runner agnostic. The assertions are a direct fork of the xUnit test assertions. This project was born because test runners Should be independent of the the assertions!",ShouldFluent,False,True,"The Should Assertion Library provides a set of extension methods for test assertions for AAA and BDD style tests. It provides assertions only, and as a result it is Test runner agnostic. The assertions are a direct fork of the xUnit test assertions. This project was born because test runners Should be independent of the the assertions!",,50954,False,1.1.12
Chakrit Wichian (http://chakrit.net/),2011-01-07T08:00:21.043Z,"Sider on GitHub: http://github.com/chakrit/sider --
      SIDER : REDIS bindingts for C#/.NET 4.0 ...
      minimal, lightweight, easy to use, no fancy APIs. assumes knowledge of how Redis works.",Sider,False,True,"Sider on GitHub: http://github.com/chakrit/sider --
      SIDER : REDIS bindingts for C#/.NET 4.0 ...
      minimal, lightweight, easy to use, no fancy APIs. assumes knowledge of how Redis works.",,26950,False,0.1.0
Tyler Brinks,2011-01-07T08:00:22.573Z,"SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .  
    It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP,False,True,"SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .  
    It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,15896,False,1.0.0
Tyler Brinks,2011-01-07T08:00:23.917Z,"Autofac provider for SNAP.  SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP.Autofac,False,True,"Autofac provider for SNAP.  SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,4640,False,1.0.0
Tyler Brinks,2011-01-07T08:00:25.637Z,"Castle Windsor provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP.CastleWindsor,False,True,"Castle Windsor provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,10633,False,1.0.0
Tyler Brinks,2011-01-07T08:00:28.09Z,"LinFu provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP.LinFu,False,True,"LinFu provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,4685,False,1.0.0
Tyler Brinks,2011-01-07T08:00:29.433Z,"Ninject provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP.Ninject,False,True,"Ninject provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,5448,False,1.0.0
Tyler Brinks,2011-01-07T08:00:30.747Z,"StructureMap provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP.StructureMap,False,True,"StructureMap provider for SNAP. SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .
      It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",,7586,False,1.0.0
Mauricio Scheffer and contributors,2011-01-07T08:00:40.043Z,Apache Solr client,SolrNet,False,True,,,122006,False,0.3.0
Mauricio Scheffer and contributors,2011-01-07T08:00:41.48Z,NHibernate integration for SolrNet,SolrNet.NHibernate,False,True,,,4260,False,0.3.0
Mauricio Scheffer and contributors,2011-01-07T08:00:42.807Z,Ninject module for SolrNet,SolrNet.Ninject,False,True,,,5146,False,0.3.0
Mauricio Scheffer and contributors,2011-01-07T08:00:44.167Z,StructureMap registry for SolrNet,SolrNet.StructureMap,False,True,,,8116,False,0.3.0
Mauricio Scheffer and contributors,2011-01-07T08:00:45.497Z,Windsor facility for SolrNet,SolrNet.Windsor,False,True,,,13118,False,0.3.0
Eric Hexter,2011-01-07T08:00:46.823Z,Solution Factory is a Visual Studio library that reduces the friction of automating multi-project template,solutionfactory,False,True,Solution Factory is a Visual Studio library that reduces the friction of automating multi-project template,,1770,False,1.0.3
"Gáspár Nagy,Attila Sztupák,Christoph Seufert,Christian Hassa,Jonas Bandi",2011-01-07T08:01:16.37Z,SpecFlow aims at bridging the communication gap between domain experts and developers by binding business readable behavior specifications to the underlying implementation. Our mission is to provide a pragmatic and frictionless approach to Acceptance Test Driven Development and Behavior Driven Development for .NET projects today.,SpecFlow,False,True,SpecFlow aims at bridging the communication gap between domain experts and developers by binding business readable behavior specifications to the underlying implementation. Our mission is to provide a pragmatic and frictionless approach to Acceptance Test Driven Development and Behavior Driven Development for .NET projects today.,,2367087,True,1.4.0
Nicholas Blumhardt,2011-01-07T08:01:17.887Z,"Sprache is a simple, lightweight library for constructing parsers in C#.",Sprache,False,True,"Sprache makes parsing 'external' DSLs clean and simple. It does this by relying on C# language features like lambda expressions and Linq. Unlike most parser-building frameworks, you use Sprache directly from your program code, and don't need to set up any build-time code generation tasks.",,162249,False,1.9.1.31
Nicholas Blumhardt,2011-01-07T08:01:42.697Z,"Stateless is a hierarchical state machine framework based on Simple State Machine for Boo, but configured using C# 3.0.",Stateless,False,True,State machine framework.,,317642,False,2.3.1.1
Jason Jarrett,2011-01-07T08:01:55.747Z,StatLight: Tool for executing Silverlight test xap packages locally during development and in a continuous integration environment.,StatLight,False,True,StatLight: Tool for executing Silverlight test xap packages locally during development and in a continuous integration environment.,,33180,False,1.2.3919
Jason Jarrett,2011-01-07T08:02:08.807Z,StatLight: Tool for executing Silverlight test xap packages locally during development and in a continuous integration environment.,StatLight,False,True,StatLight: Tool for executing Silverlight test xap packages locally during development and in a continuous integration environment.,,33180,False,1.3.3981
RobFE,2011-01-07T08:02:11.76Z,"StoryQ is a portable (single dll), embedded BDD framework for .NET 3.5. It runs within your existing test runner and helps produce human-friendly test output (html or text). StoryQ's fluent interface adds strong typing, intellisense and documentation to your BDD grammar.",StoryQ,False,True,"StoryQ is a portable (single dll), embedded BDD framework for .NET 3.5. It runs within your existing test runner and helps produce human-friendly test output (html or text). StoryQ's fluent interface adds strong typing, intellisense and documentation to your BDD grammar.",,42557,False,2.0.5
Jeremy Miller,2011-01-07T08:02:22.433Z,"StructureMap is a Dependency Injection / Inversion of Control tool for .Net that can be used to improve the architectural qualities of an object oriented system by reducing the mechanical costs of good design techniques. StructureMap can enable looser coupling between classes and their dependencies, improve the testability of a class structure, and provide generic flexibility mechanisms. Used judiciously, StructureMap can greatly enhance the opportunities for code reuse by minimizing direct coupling between classes and configuration mechanisms.",structuremap,False,True,"StructureMap is a Dependency Injection / Inversion of Control tool for .Net that can be used to improve the architectural qualities of an object oriented system by reducing the mechanical costs of good design techniques. StructureMap can enable looser coupling between classes and their dependencies, improve the testability of a class structure, and provide generic flexibility mechanisms. Used judiciously, StructureMap can greatly enhance the opportunities for code reuse by minimizing direct coupling between classes and configuration mechanisms.",,3147243,False,2.6.1
Phil Haack,2011-01-07T08:02:23.917Z,"The cure for comment spam. Subkismet is a comment spam filtering library that includes Akismet, Invisible Captcha, and Visible Captcha. The Akismet library included is based on code in use by Subtext and DasBlog.",subkismet,False,True,The cure for comment spam.,,15899,False,1.0.0
"Ryan Farley,Customer FX Corporation",2011-01-07T08:02:26.433Z,"Sublogix is a simple repository for SalesLogix from Customer FX, providing an entity model and repository for any version of SalesLogix. Great for use in .NET Extensions in the LAN client, SalesLogix integration projects, and stand-alone or addon applications for SalesLogix. Entity model T4 templates also included to generate entity model for your custom SalesLogix data. Documentation and details at http://sublogix.customerfx.com",Sublogix,False,True,"Sublogix is a simple repository for SalesLogix from Customer FX, providing an entity model and repository for any version of SalesLogix. Great for use in .NET Extensions in the LAN client, SalesLogix integration projects, and stand-alone or addon applications for SalesLogix. Entity model T4 templates also included to generate entity model for your custom SalesLogix data. Documentation and details at http://sublogix.customerfx.com",,4766,False,1.0.0.1
Rob Conery,2011-01-07T08:02:28.823Z,"SubSonic is A Super High-fidelity Batman Utility Belt that works up your Data Access (using Linq in 3.0), throws in some much-needed utility functions, and generally speeds along your dev cycle.",SubSonic,False,True,"SubSonic is A Super High-fidelity Batman Utility Belt that works up your Data Access (using Linq in 3.0), throws in some much-needed utility functions, and generally speeds along your dev cycle.",,15120,False,3.0.0.4
David Ebbo,2011-01-07T08:02:32.887Z,T4MVC is a T4 template that generates strongly typed helpers for ASP.NET MVC.,T4MVC,False,True,T4MVC is a T4 template that generates strongly typed helpers for ASP.NET MVC.,"t4,mvc",1142300,False,2.6.32
David Ebbo,2011-01-07T08:02:34.323Z,T4MVC is a T4 template that generates strongly typed helpers for ASP.NET MVC.,T4MVC,False,True,T4MVC is a T4 template that generates strongly typed helpers for ASP.NET MVC.,"t4,mvc",1142300,False,2.6.40
Headspring,2011-01-07T08:02:35.667Z,This is a batch process runner.,tarantino-batchjobs,False,True,This is a batch process runner.,,1588,False,1.0.146
Headspring,2011-01-07T08:02:37.12Z,This is a database migration framework for sql server.,tarantino-db-deployer,False,True,This is a database migration framework for sql server.,,1786,False,1.0.146
Telerik,2011-01-07T08:02:41.667Z,Telerik Extensions for ASP.NET MVC is a set of UI components for ASP.NET MVC,TelerikMvcExtensions,False,True,Telerik Extensions for ASP.NET MVC is a set of UI components for ASP.NET MVC,,182160,False,2010.2.930
Telerik,2011-01-07T08:02:46.043Z,Telerik Extensions for ASP.NET MVC is a set of UI components for ASP.NET MVC,TelerikMvcExtensions,False,True,Telerik Extensions for ASP.NET MVC is a set of UI components for ASP.NET MVC,,182160,False,2010.3.1110
"Ian Davis,Remo Gloor",2011-01-07T20:59:11.777Z,Convention-based binding for Ninject,ninject.extensions.conventions,False,True,,,654230,False,2.1.0.24
